I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
y Carinae,,Carina,168.1500536,-60.31762498,5.2,5.17,4.62,3.463,3.07,3.11,0.03,0.55,0.393,-0.04,-6.181,1.934,-8.4,0.8,1285.181853,258.48986,A5Ia,17,,141.5,,96000,,8330,,y
x Carinae,,Carina,167.1474583,-58.97503771,6.07,5.09,3.83,2.098,1.782,1.64,0.98,1.26,0.316,0.142,-4.97,1.67,6,0.5,1923.076923,628.6982249,G5Ia,20,,485,,212000,12300,5625,312,x
u Carinae,,Carina,163.3735635,-58.8531712,5.39,4.74,3.79,2.19,1.68,1.59,0.65,0.95,0.51,0.09,79.01,38.47,8.1,0.7,29.12904165,0.110305139,K0IV,1.6,,7.955,0.74246212,30.96,0.27,4935.5,85.55992052,u
p Carinae,,Carina,158.0060957,-61.68533231,2.46,3.18,3.27,3.36,3.25,3.14,-0.72,-0.09,0.11,0.11,-17.01,11.5,26,2,148.1481481,8.77914952,B4V,7.6,0.1,6,,5212,,19291,,p
q Carinae,,Carina,154.2707304,-61.33230231,,4.899,3.35,0.906,0.19,0.055,,1.549,0.716,0.135,-24.73,7.2,8.2,0.6,201.6129032,3.658298647,K2.5II,9,,128,,3236,,4118,,q
Iota Carinae,Aspidiske,Carina,139.2725286,-59.27523203,2.6,2.44,2.26,1.71,1.6,1.55,0.16,0.18,0.11,0.05,-18.86,11.98,12,0.3,234.741784,5.510370517,A7Ib,7.4,,43,,4900,,7500,,$\iota$
Epsilon Carinae A,Avior,Carina,125.6284803,-59.50948419,3.32,3.13,1.86,-0.787,-1.563,-1.782,0.19,1.27,0.776,0.219,-25.52,22.06,11.6,0.5,185.528757,14.80099545,K3III,10.5,,,,,,3523,,$\epsilon$
Chi Carinae,,Carina,119.1946801,-52.98233176,2.64,3.267,3.431,3.951,3.919,3.956,-0.627,-0.164,0.032,-0.037,-33.179,20.331,19.4,2,139.3747648,6.383161816,B3IV,7,0.1,5.5,,2266,,17200,,$\chi$
Beta Cassiopeiae,Caph,Cassiopeia,2.294521583,59.14978111,2.73,2.61,2.27,1.63,1.43,1.44,0.12,0.34,0.2,-0.01,523.5,-179.77,4.3,0.8,16.78415576,0.107048996,F2III,1.91,0.02,3.56,0.183847763,27.3,,7079,,$\beta$
Alpha Cassiopeiae,Schedar,Cassiopeia,10.12683778,56.53733116,4.52,3.4,2.23,0.43,-0.21,-0.25,1.12,1.17,0.64,0.04,50.88,-32.13,-4.204,0.0006,69.9790063,0.734559198,K0III,3.98,,45.39,,794,,4552,,$\alpha$
Gamma Cassiopeiae,,Cassiopeia,14.17721542,60.71674028,1.18,2.29,2.39,2.36,2.22,2.11,-1.11,-0.1,0.14,0.11,25.65,-3.82,-6.8,0.9,187.9699248,19.78630787,B0.5IV,17,,10,,34000,,25000,,$\gamma$
