I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
Xi Hydrae,,Hydra,173.2504794,-31.85762318,5.17,4.47,3.54,1.96,1.539,1.417,0.7,0.93,0.421,0.122,-209.62,-40.84,-4.599,0.0002,39.74562798,0.252754391,G7III,2.94,0.15,10.2,0.1,57.65,2.39,5044,40,$\xi$
Beta Hydrae,,Hydra,178.2271729,-33.90812978,3.85,4.18,4.28,4.617,4.557,4.431,-0.33,-0.1,0.06,0.126,-56.56,0.19,-1,3.7,94.96676163,5.411211489,A0V,3.36,0.15,3.89,0.08,260.5,58.68986284,10980,110,$\beta$
Gamma Hydrae,,Hydra,199.7304049,-23.17151428,4.58,3.92,3,1.53,1.05,0.97,0.66,0.92,0.48,0.08,68.99,-41.85,-4.861,0.0002,41.03405827,0.252569091,G8III,2.94,,16,3,115,,5087,,$\gamma$
Pi Hydrae,,Hydra,211.5929062,-26.68236177,5.45,4.41,3.28,1.42,0.8,0.71,1.04,1.13,0.62,0.09,43.7,-141.18,27.2,0.6,30.95975232,0.153361002,K2III,2.105,0.487903679,12.5,0.5,,,4670,,$\pi$
E Hydrae,,Hydra,222.5720894,-27.96037181,7.28,5.81,4.41,1.95,1.201,1.04,1.47,1.4,0.749,0.161,-232.696,-60.118,-8.7,1.5,87.38203425,3.897983964,K2.5III,0.88,,33.04,1.088944443,310.19,,4210,,E
Alpha Hydri,,Hydrus,29.69247779,-61.56985966,3.33,3.13,2.84,2.3,2.17,2.12,0.2,0.29,0.13,0.05,263.66,26.77,8.7,3.1,22.01188642,0.213190183,F0IV,2,,3.04,0.058,21,0.75,7087,47,$\alpha$
Beta Hydri,,Hydrus,6.437793167,-77.25424611,3.52,3.41,2.79,1.72,1.4,1.34,0.11,0.62,0.32,0.06,2219.54,324.09,23.085,0.0003,7.458790184,0.006119691,G0V,1.08,0.03,1.809,0.015,3.494,0.087,5872,44,$\beta$
Gamma Hydri,,Hydrus,56.80975259,-74.2389635,6.87,4.88,3.26,0.17,-0.69,-0.91,1.99,1.62,0.86,0.22,50.85,114.74,12.76,0.25,65.6167979,0.473612058,M1III,1,,62,1,513,,3499,,$\gamma$
Alpha Indi,,Indus,309.3918,-47.29150072,4.9,4.11,3.11,1.429,0.931,0.811,0.79,1,0.498,0.12,49.24,66.53,-1.3,0.6,30.14772385,0.163599346,K0III,2,,12,,,,4893,,$\alpha$
Eta Indi,,Indus,311.0097252,-51.92097138,,4.767,4.495,3.909,3.692,3.82,,0.272,0.217,-0.128,155.8,-53.86,-1.6,0.8,24.17210539,0.14607267,A9IV,1.6,,2.27,,7.6,,7694,,$\eta$
Beta Indi,,Indus,313.7025116,-58.45415606,6.13,4.9,3.65,1.76,1.16,1.04,1.23,1.25,0.6,0.12,20.79,-25.2,-4.9,0.7,187.6172608,5.632037847,K1II,6.7,0.4,57.745,10.16112445,1183,58,4484,391.7371568,$\beta$
Delta Indi A,,Indus,329.4794731,-54.99257612,4.78,4.68,4.4,3.597,3.415,3.416,0.1,0.28,0.182,-0.001,41.94,-3.93,9.4,2.9,57.67012687,1.596404896,F0IV,1.78,0.21,,,48,,7445,53,$\delta$
Theta Indi A,,Indus,319.9662829,-53.44942351,,4.641,4.483,3.43,4.22,4.145,,0.158,-0.79,0.075,106.23,-67.028,-14.5,2,29.46888233,0.231519446,A5IV,1.75,,1.61,,12.95,,8332,,$\theta$
Beta Lacertae,,Lacerta,335.8900989,52.22904574,6.26,5.46,4.44,2.7,2.21,2.1,0.8,1.02,0.49,0.11,-13.25,-186.77,-11.42,0.22,52.11047421,0.434480244,G9III,0.97,0.21,10.96,0.23,57.7,3,4803,75,$\beta$
Alpha Lacertae,,Lacerta,337.8229221,50.28249117,3.78,3.78,3.77,3.75,3.867,3.75,0,0.01,-0.117,0.117,137.51,17.01,-4.5,0.9,31.45643284,0.11874086,A1V,2.194,,2.1432,0.0737,27.675,0.2138,9050,157,$\alpha$
4 Lacertae,,Lacerta,336.1291283,49.47638867,4.33,4.67,4.58,4.3,4.25,4.283,-0.34,0.09,0.05,-0.033,-4.8,-2.598,-26,1.7,568.9253001,87.29541642,A0Ib,21.5,14.8492424,59,,62000,,11800,,4
5 Lacertae A,,Lacerta,337.3825938,47.70688686,7.15,6.05,4.37,1.19,0.412,0.16,1.1,1.68,0.778,0.252,-0.37,-3.33,-12.93,0.11,505.0505051,45.91368228,K9Ia,5.11,0.18,316.5,41.43645738,17473,3344,3713,56,5
2 Lacertae,,Lacerta,335.2564469,46.53656836,3.95,4.431,4.54,5.012,5.021,4.771,-0.481,-0.109,-0.009,0.25,22.35,1.45,-9.5,2,170.0680272,4.049238743,B6V,5.01,,,,1084,,13996,,2
11 Lacertae,,Lacerta,340.1285784,44.27630673,7.15,5.79,4.46,2.28,1.817,1.46,1.36,1.33,0.463,0.357,93.83,10.71,-11.53,0.04,102.0408163,2.707205331,K2.5III,1.38,,27.7,,204,,4352,,11
6 Lacertae,,Lacerta,337.6219169,43.12337679,3.68,4.4,4.511,4.989,4.7,4.752,-0.72,-0.111,0.289,-0.052,-1.98,-5.36,-8.7,0.9,526.3157895,58.17174515,B2IV,12.5,0.6,6.9,,34590,,21150,,6
HD 211073,,Lacerta,333.4696971,39.71492893,7.32,5.88,4.49,2.2,1.506,1.31,1.44,1.39,0.694,0.196,39.155,18.441,-11.4,0.2,179.1922016,8.685713099,K2.5III,2.21,0.339411255,45.58,3.224406922,568.65,80.22833539,4179,18.38477631,
1 Lacertae,,Lacerta,333.992403,37.74873293,7.24,5.61,4.15,1.8,1.12,1,1.63,1.46,0.68,0.12,8.85,-0.72,-8.58,0.08,190.4761905,8.344671202,K3II,4.16,0.28,69.135,4.518412332,1453,147,4288,62,1
Alpha Leonis A,Regulus,Leo,152.0929625,11.96720878,0.88,1.24,1.4,1.54,1.57,1.62,-0.36,-0.16,-0.03,-0.05,-248.73,5.59,5.9,2,24.31315342,0.2068953,B8IV,3.8,,4.35,0.1,316.2,16.7,11668,195,$\alpha$
Alpha Leonis B,,Leo,152.0532828,11.99696132,9.45,9.035,8.144,6.422,5.99,5.875,0.415,0.891,0.432,0.115,-254.407,8.044,6.72,0.27,24.26513052,0.045749493,K0V,0.8,,0.83,,0.5,,4885,,
Eta Leonis,,Leo,151.8331328,16.76266119,3.17,3.39,3.41,3.36,3.45,3.4,-0.22,-0.02,-0.09,0.05,-2.8,-1.82,1.4,0.4,389.1050584,24.22443943,A0Ib,10,,47,,19000,,9600,,$\eta$
Epsilon Leonis,Algenubi,Leo,146.4628054,23.77425579,4.23,3.79,2.98,1.63,1.23,1.15,0.44,0.81,0.4,0.08,-45.61,-9.21,4.322,0.0012,75.6429652,0.858278728,G1III,4.01,,21,,288,,5248,,$\epsilon$
Lambda Leonis,Alterf,Leo,142.9301147,22.96796956,7.74,5.85,4.31,1.6,0.61,0.62,1.89,1.54,0.99,-0.01,-20.17,-39.47,24.27,0.19,100.9081736,1.832842708,K4.5III,,,45,,472,,3900,,$\lambda$
Kappa Leonis,,Leo,141.1635781,26.1823236,7,5.69,4.45,2.42,1.765,1.68,1.31,1.24,0.655,0.085,-31.64,-48.2,28,0.18,61.72839506,0.800182899,K2III,1.44,,17,,89,,4403,24,$\kappa$
Mu Leonis,Rasalas,Leo,148.1909023,26.0069533,6.5,5.1,3.88,1.93,1.327,1.22,1.4,1.22,0.603,0.107,-217.31,-54.26,13.647,0.001,38.05175038,0.231669713,K2III,1.5,0.1,14,,63,,4436,,$\mu$
Zeta Leonis,Adhafera,Leo,154.1725665,23.41731169,3.89,3.72,3.41,2.81,2.628,2.62,0.17,0.31,0.182,0.008,18.39,-6.84,-21.4,0.8,84.03361345,1.271096674,F0III,3,,6,,85,,6792,,$\zeta$
Gamma Leonis A,Algieba,Leo,154.9931436,19.84148867,4.13,3.13,1.98,-0.18,-0.85,-0.81,1,1.15,0.67,-0.04,310.8,-152.9,-36.98,0.46,38.52080123,1.231597266,K1III,1.23,,31.88,,320,,4470,,$\gamma$
Delta Leonis,Zosma,Leo,168.5270893,20.52371814,2.79,2.68,2.53,2.33,2.28,2.24,0.11,0.15,0.05,0.04,143.42,-129.88,-20.9,0.6,17.9147259,0.080234351,A5IV,2.2,,2.14,0.04,15.5,1.8,8296,,$\delta$
Beta Leonis,Denebola,Leo,177.2649098,14.57205806,2.3,2.22,2.13,1.85,1.925,1.9,0.08,0.09,-0.075,0.025,-497.68,-114.67,-0.2,0.5,10.99989,0.062918742,A3V,1.78,,1.728,,15,,8500,,$\beta$
Theta Leonis,Chertan,Leo,168.5600186,15.61022536,3.4,3.33,3.35,3.34,3.19,3.3,0.07,-0.02,0.15,-0.11,-60.31,-79.1,7.536,0.0257,50.60728745,0.435386582,A2IV,2.5,,,,141,,9350,,$\theta$
Iota Leonis,,Leo,170.981053,10.52950542,5.77,4.35,3.894,3.082,2.84,2.79,1.42,0.456,0.242,0.05,141.45,-79.14,-11.8,0.2,23.67424242,0.465189896,F3V,1.66,0.056568542,2.1,,11.5,,6739,,$\iota$
Sigma Leonis,,Leo,170.2841396,6.029325263,3.864,3.984,4.04,4.366,4.325,4.139,-0.12,-0.056,0.041,0.186,-92.97,-11.48,-5.3,2,67.47638327,1.092734952,B9.5V,2.76,,3.3,,133,,10250,,$\sigma$
46 Leonis Minoris,Praecipua,Leo Minor,163.327937,34.21488541,5.79,3.87,3.83,2.07,1.426,1.39,1.92,0.04,0.644,0.036,92.02,-285.82,15.69,0.19,29.0866783,0.177667319,K0III,1.69,,8.22,0.22,34,2,4670,,46
Beta Leonis Minoris A,,Leo Minor,156.9708317,36.70721001,5.76,5.11,4.21,2.598,2.131,2.06,0.65,0.9,0.467,0.071,-127.68,-110.31,8.52,0.05,47.19207173,1.113545817,G9III,2.98,0.1,9.4,0.3,50.7,1.8,4097,927,$\beta$
30 Leonis Minoris,,Leo Minor,156.4783973,33.79612196,,4.978,4.718,4.55,4.257,3.967,,0.26,0.293,0.29,-73.66,-59.21,13.7,0.6,71.53075823,1.074496368,F0V,2.28,,4.182,,58,,7292,,30
21 Leonis Minoris,,Leo Minor,151.8573457,35.24469346,4.74,4.67,4.49,4.17,4.046,4.004,0.07,0.18,0.124,0.042,52.9,0.62,-11.4,0.9,28.24061,0.14355577,A7V,1.75,,1.75,,9.91,,7839,,21
10 Leonis Minoris,,Leo Minor,143.5557562,36.39756009,,5.47,4.6,3.046,2.711,,,0.87,0.335,,7.28,-23.2,-11.94,0.08,55.10917127,0.712181368,G7.5III,2.54,,9.2,,51.4,,5099,,10
Alpha Leporis,Arneb,Lepus,83.18256716,-17.82228927,3.02,2.77,2.57,2.04,1.92,1.86,0.25,0.2,0.12,0.06,3.56,1.18,25.1,0.1,680.2721088,64.78781989,F0Ib,13.9,0.8,129,,32000,,6850,80,$\alpha$
Beta Leporis,Nihal,Lepus,82.0738465,-20.75944105,4.13,3.66,2.84,1.41,1.001,0.89,0.47,0.82,0.409,0.111,-5.02,-86.01,-14.2,0.1,49.16420846,0.435081491,G5II,3.5,0.1,16,,171,,5450,100,$\beta$
Gamma Leporis,,Lepus,86.11579539,-22.44838355,4.08,4.07,3.6,2.69,2.46,2.41,0.01,0.47,0.23,0.05,-291.67,-368.97,-9.1999,0.0004,8.926977325,0.014344366,F6V,1.23,0.05,1.33,0.04,2.291,,6299,,$\gamma$
Delta Leporis,,Lepus,87.83040053,-20.87908976,5.54,4.83,3.85,1.985,1.423,1.314,0.71,0.98,0.562,0.109,229.49,-648.41,101.769,0.517,34.86750349,0.206676276,K0III,0.94,,10,,45.7,,4660,84,$\delta$
Theta Leporis,,Lepus,91.53884877,-14.9352536,4.707,4.707,4.663,4.743,4.593,4.523,0,0.044,0.15,0.07,-16.887,12.711,32,4.2,49.52750758,0.641698,A0V,2.35,0.03,,,41,,10453,355,$\theta$
Eta Leporis,,Lepus,89.10122085,-14.16769969,4.05,4.05,3.72,3.1,2.93,2.9,0,0.33,0.17,0.03,-42.06,139.26,-2.14,0.27,14.87873828,0.055344213,F2V,1.42,,1.52,,6.03,,6899,80,$\eta$
Zeta Leporis,,Lepus,86.73892066,-14.82194998,3.75,3.637,3.525,3.39,3.314,3.286,0.113,0.112,0.076,0.028,-14.54,-1.07,24.7,1.1,21.60760588,0.074702181,A2IV,1.46,,1,,14,,9772,,$\zeta$
Epsilon Leporis,,Lepus,76.36527237,-22.37103441,6.41,4.64,3.18,0.71,-0.02,-0.2,1.77,1.46,0.73,0.18,21.13,-73.11,1.011,0.0001,65.40222368,0.812715664,K4III,1.7,0.19,40.1,3.2,372,,4131,,$\epsilon$
Mu Leporis,,Lepus,78.2329383,-16.20545938,2.78,3.18,3.29,3.53,3.59,3.57,-0.4,-0.11,-0.06,0.02,47.09,-16.39,27.1,0.3,45.93624967,1.111199215,B9IV,3.45,,3.39,0.16,251,,12820,436,$\mu$
Lambda Leporis,,Lepus,79.8938502,-13.17678911,3.03,4.04,4.29,4.89,4.98,5.09,-1.01,-0.25,-0.09,-0.11,-3.3,-4.91,20.2,2,261.0966057,16.36114501,B0.5V,15,3.5,4.5,0.3,15488,,30400,300,$\lambda$
Kappa Leporis A,,Lepus,78.30782338,-12.94129064,3.92,4.26,4.36,4.418,4.59,4.556,-0.34,-0.1,-0.172,0.034,-12.29,-0.79,20.8,1,223.2142857,28.89827806,B7V,4.86,0.39,2.6,,1346,,11588,,$\kappa$
Alpha1 Librae,,Libra,222.6715611,-15.99723021,5.53,5.57,5.16,4.39,4.19,4.14,-0.04,0.41,0.2,0.05,-76.22,-63.085,-23.47,0.15,23.36847173,0.107305795,F3V,1.97,,,,,,6653,,$\alpha^1$
Alpha2 Librae,Zubenelgenubi,Libra,222.7196379,-16.04177653,2.99,2.9,2.75,2.5,2.43,2.41,0.09,0.15,0.07,0.02,-105.68,-68.4,-10,5,23.23960028,0.102615014,A4IV,1.45,0.05,,,,,8128,,$\alpha^2$
Beta Librae,Zubeneschamali,Libra,229.2517243,-9.382914417,2.14,2.51,2.62,2.77,2.8,2.82,-0.37,-0.11,-0.03,-0.02,-98.1,-19.65,-35.6,1.8,56.75368899,0.515356994,B8V,3.55,0.353553391,4.9,,130,,12300,,$\beta$
Gamma Librae A,Zubenelhakrabi,Libra,233.8815784,-14.78953551,5.67,4.93,3.91,2.144,1.616,1.506,0.74,1.02,0.528,0.11,65.34,7.45,-26.71,0.04,50.02501251,0.4004003,G8.5III,1.15,,11.14,,72,,4786,,$\gamma$
Upsilon Librae,,Libra,234.2560425,-28.13508129,6.565,4.979,3.589,1.143,0.43,0.325,1.586,1.39,0.713,0.105,-12.82,-4.15,-24.9,0.7,68.58710562,0.893796301,K3.5III,1.67,,31.5,,309,,4135,20,$\upsilon$
Tau Librae A,,Libra,234.6640396,-29.77774878,2.764,3.481,3.642,3.99,4.046,4.12,-0.717,-0.161,-0.056,-0.074,-22.08,-24.46,3.2,5,112.4859393,2.530617306,B2.5V,7.25,0.49,3.2,,2705,,17990,,$\tau$
Sigma Librae A,Brachium,Libra,226.017567,-25.28196129,6.86,4.91,3.21,-0.31,-1.22,-1.43,1.95,1.7,0.91,0.21,-71.16,-43.34,-3.9,0.7,88.4173298,1.954406052,M2.5III,2.2,,108,,1820,,3596,,$\sigma$
Alpha Lupi,,Lupus,220.4823158,-47.38819875,1.22,2.126,2.286,2.634,2.718,2.668,-0.906,-0.16,-0.084,0.05,-20.94,-23.67,5.4,0.7,142.4501425,3.449647324,B1.5III,10.1,1,,,25000,,21820,2160,$\alpha$
Zeta Lupi A,,Lupus,228.0712331,-52.09924775,4.99,4.33,3.41,1.845,1.41,1.293,0.66,0.92,0.435,0.117,-112.92,-71.18,-10,0.6,35.97122302,0.194089333,G8III,2.29,,10,,53,,5335,,$\zeta$
Mu Lupi,,Lupus,229.633429,-47.87527658,3.82,4.23,4.26,4.514,4.572,4.428,-0.41,-0.03,-0.058,0.144,-29.59,-35.07,14.9,1.78,102.8806584,7.514945215,B8V,4.42,0.2,,,603,,13470,500,$\mu$
Epsilon Lupi Aa,,Lupus,230.6702844,-44.68961518,2.46,3.191,3.366,3.988,3.93,4.128,-0.731,-0.175,0.058,-0.198,-22.86,-18.87,7.9,4,156.9858713,17.25119465,B2IV,,,4.7,,3200,,19275,1800,$\epsilon$
Gamma Lupi A,,Lupus,233.7852015,-41.16675686,1.76,2.586,2.765,3.276,3.328,3.375,-0.826,-0.179,-0.052,-0.047,-15.62,-25.43,2.3,5,129.0322581,8.324661811,B2IV,9.5,0.2,,,5000,,20900,,$\gamma$
Delta Lupi,,Lupus,230.3430218,-40.64750617,2.12,2.995,3.19,3.781,3.801,3.96,-0.875,-0.195,-0.02,-0.159,-19.49,-25.29,-2.4,2.8,114.6946828,6.194628402,B1.5IV,11.9,0.2,6.1,,10000,,22908,,$\delta$
Beta Lupi,,Lupus,224.6330223,-43.13396386,1.59,2.46,2.68,3.16,3.25,3.32,-0.87,-0.22,-0.09,-0.07,-35.78,-39.83,0.2,0.9,117.370892,2.479666733,B2III,8.8,0.2,6.6,,10000,,24090,,$\beta$
Eta Lupi A,,Lupus,240.0305327,-38.39670868,2.36,3.19,3.41,3.96,4.01,4.1,-0.83,-0.22,-0.05,-0.09,-16.96,-27.83,1,3.8,135.501355,3.304911098,B2.5IV,7,0.2,6.7,,1729,,14668,,$\eta$
Phi1 Lupi,,Lupus,230.4515403,-36.26137569,6.926,5.076,3.546,0.825,-0.03,-0.153,1.85,1.53,0.855,0.123,-92.33,-85.67,-29.4,0.7,84.31703204,1.137497903,K4III,,,40,,711.28,,3894,59,$\phi^1$
Phi2 Lupi,,Lupus,230.7889585,-36.85848668,3.77,4.39,4.54,4.88,4.967,4.943,-0.62,-0.15,-0.087,0.024,-18.24,-20.72,0.8,2.7,159.2356688,5.071199643,B4V,6.1,0.1,3.4,,800,,16780,,$\phi^2$
Psi1 Lupi,,Lupus,234.9415805,-34.4119187,,5.641,4.661,2.803,2.328,2.29,,0.98,0.475,0.038,6.123,-11.767,-21.9,0.15,63.44775078,1.086916611,G8III,2.42,,10.82,0.197989899,62,1.2,4924.5,44.54772721,$\psi^1$
Psi2 Lupi,,Lupus,235.6709252,-34.71040603,4.08,4.576,4.721,4.999,5.11,5.094,-0.496,-0.145,-0.111,0.016,-21.37,-29.98,3.9,2,111.4827202,3.355667163,B5V,,,,,,,15135,,$\psi^2$
Chi Lupi A,,Lupus,237.7397429,-33.62716537,3.77,3.909,3.946,4.05,4,3.99,-0.139,-0.037,0.05,0.01,-5.1,-24.85,-16.3,4.1,59.84440455,0.966965244,B9III,2.84,0.12,2.85,0.15,63,,10200,,$\chi$
g Lupi,,Lupus,235.2974041,-44.66120634,5.006,5.036,4.633,4.023,3.732,3.802,-0.03,0.403,0.291,-0.07,-169.17,-266.28,-7.08,0.03,17.43679163,0.048646672,F3V,1.368,0.026,1.26,,3.31,,6704,63,g
Alpha Lyncis,,Lynx,140.2637531,34.39256237,6.63,4.69,3.14,0.32,-0.47,-0.64,1.94,1.55,0.79,0.17,-223.63,15.18,38.47,0.2,62.26650062,0.659109907,K6III,,,54.5,3.02,673,83,3882,,$\alpha$
38 Lyncis A,,Lynx,139.711016,36.80259253,,3.96,3.92,3.48,3.46,3.42,,0.04,0.02,0.04,-32.33,-125.64,4,2,38.27018752,1.142393657,A1V,1.9,,3.07,,32,,8862,301,38
HD 77912,,Lynx,136.6323692,38.45221545,,5.567,4.539,2.844,2.462,2.4,,1.028,0.382,0.062,-27.653,-15.055,16.04,0.18,199.8201619,7.893784793,G7IIa,4.6,,33,5,1168.35,,4899,,
10 Ursae Majoris A,,Lynx,135.1599195,41.78294558,4.44,4.39,3.96,3.21,3.08,3,0.05,0.43,0.13,0.08,-474.31,-204.21,31.39,1.14,16.06941989,0.175593854,F3V,1.44,,,,4.285,,6740,,10
31 Lyncis,,Lynx,125.7087917,43.18813123,7.71,5.8,4.25,1.52,0.453,0.55,1.91,1.55,1.067,-0.097,-25.16,-99.23,24.56,0.22,117.2332943,3.435911321,K4III,1.95,0.18,53.315,2.255670632,782.4,60.3,3921,19,31
21 Lyncis,,Lynx,111.6785495,49.21152519,,4.594,4.61,4.695,4.693,4.572,,-0.016,0.002,0.121,-10.22,-49.29,26.8,0.1,83.89261745,1.689113103,A0.5V,2.22,,,,102.01,,9692,330,21
15 Lyncis A,,Lynx,104.3191886,58.42276123,5.71,5.2,4.35,2.85,2.38,2.32,0.51,0.85,0.47,0.06,6.08,-122.83,1.28,0.03,54.67468562,0.747330312,G5III,,,8,,40,,5164,5,15
2 Lyncis A,,Lynx,94.90576908,59.01096341,,4.462,4.434,4.282,4.287,4.347,,0.028,-0.005,-0.06,-5.35,23.86,-2,0.1,48.00768123,0.921894983,A2V,2.32,0.02,2.2,,39.55,2.474873734,9310,100,2
Alpha Lyrae,Vega,Lyra,279.2305681,38.78368894,0.03,0.03,0.03,-0.177,-0.029,0.129,0,0,-0.148,-0.158,200.94,286.23,-20.6,0.2,7.678722261,0.021226599,A0V,2.135,0.074,2.725,0.322440692,40.12,0.45,9602,180,$\alpha$
Epsilon1 Lyrae A,,Lyra,281.0847919,39.67007301,5.176,5.111,4.991,4.2,4.3,4.23,0.065,0.12,-0.1,0.07,9.297,75.291,-31,2,55.65914341,0.704471612,A3V,2.03,,,,24,,7943,,$\epsilon^1$
Epsilon1 Lyrae B,,Lyra,281.0846345,39.67080146,6.428,6.363,6.062,4.2,4.3,4.23,0.065,0.301,-0.1,0.07,1.828,49.549,-33.1,2,49.000392,0.121732648,F0V,1.61,,,,8.4,,7047,,
Epsilon2 Lyrae A,,Lyra,281.0949139,39.61271058,5.474,5.4,5.23,4.03,4.209,4.157,0.074,0.17,-0.179,0.052,6.967,49.926,-24.2,2,49.51843324,0.312639592,A6V,2.11,,,,29,,7816,,$\epsilon^2$
Epsilon2 Lyrae B,,Lyra,281.0957658,39.61279214,5.655,5.58,5.35,4.03,4.209,4.157,0.075,0.23,-0.179,0.052,4.138,66.448,-28,5,49.84970315,0.297205151,A7V,2.15,,,,32,,7852,,
Zeta1 Lyrae,,Lyra,281.1931556,37.60511585,4.71,4.55,4.36,4.06,4.01,3.9,0.16,0.19,0.05,0.11,29.04,27.03,-24.9,0.74,47.86979416,0.389557923,F0V,2.36,,2.5,,31,,7914,112,$\zeta^1$
Zeta2 Lyrae,,Lyra,281.2008343,37.59459906,5.931,5.871,5.585,5.097,5.055,4.958,0.06,0.286,0.042,0.097,23.159,23.592,-25,3.73,48.51519253,0.135574497,F1V,1.74,,2.05,0.08,9.6135,0.051618795,7148.5,120.9152596,$\zeta^2$
Delta1 Lyrae A,,Lyra,283.4314968,36.9717192,4.74,5.425,5.573,5.842,5.955,5.994,-0.685,-0.148,-0.113,-0.039,1.35,-2.985,-25.8,0.9,356.2268453,16.92934135,B2V,7.75,0.5,,,3620,,20350,,$\delta^1$
Delta2 Lyrae,,Lyra,283.6261806,36.89861481,7.62,5.97,4.3,-0.05,-0.91,-1.22,1.65,1.67,0.86,0.31,-7.36,4.06,-25.55,0.84,225.7336343,9.172021259,M4II,7.3,,333.5,67.17514421,18000,7212.489168,3600,70.71067812,$\delta^2$
Gamma Lyrae,Sulafat,Lyra,284.7359267,32.68955564,3.14,3.2,3.25,3.2,3.19,3.2,-0.06,-0.05,0.01,-0.01,-3.09,1.11,-20.2,0.6,190.1140684,9.758706935,B9III,5.76,,15.4,,2430,,10000,,$\gamma$
Beta Lyrae Aa1,Sheliak,Lyra,282.5199802,33.36266944,2.85,3.42,3.42,3.35,3.31,3.11,-0.57,0,0.04,0.2,1.9,-3.53,2.2,0.7,294.9852507,14.79277069,B8.5Ib,2.97,0.2,15.2,0.2,6500,,13300,,$\beta$
Alpha Mensae,,Mensa,92.56030883,-74.75304544,6.128,5.798,5.069,3.951,3.503,3.446,0.33,0.729,0.448,0.057,121.203,-212.1,36.118,0.0002,10.21468197,0.007502026,G7V,1.103,0.086,0.99,0.03,0.832,0.025,5587,,$\alpha$
Beta Mensae,,Mensa,75.6770827,-71.31429904,7.063,6.293,5.294,3.594,3.05,2.916,0.77,0.999,0.544,0.134,-4.368,10.815,-11.4,2,202.560363,3.323486753,G8III,3.58,,25.885,0.926309883,345,7,5088,44,$\beta$
Mu Mensae,,Mensa,70.76651274,-70.93103186,4.96,5.391,5.511,5.726,5.791,5.824,-0.431,-0.12,-0.065,-0.033,9.32,34.93,-0.2,3.9,146.1881441,1.602823012,B8II,,,3.3,,216,,12550,,$\mu$
Eta Mensae,,Mensa,73.79666886,-74.93685462,8.785,6.965,5.449,2.776,1.974,1.75,1.82,1.516,0.802,0.224,28.27,61.52,25.8,2,198.8111096,3.944680557,K4III,,,,,616,,4055,,$\eta$
Gamma Mensae A,,Mensa,82.97013316,-76.34091375,7.52,6.33,5.2,0.31,2.75,2.66,1.19,1.13,-2.44,0.09,140.646,269.634,56.24,0.39,32.15216979,0.157028451,K2III,1.04,,4.99,,21,,4491,,$\gamma$
Epsilon Mensae,,Mensa,111.4087421,-79.09418847,,6.802,5.522,3.463,2.769,2.59,,1.28,0.694,0.179,-29.084,4.575,10.5,2,139.8914442,1.371830094,K2III,1.16,,23,,170,,4185,,$\epsilon$
Theta Mensae,,Mensa,104.1436404,-79.42019246,,5.487,5.449,5.17,5.209,5.052,,0.038,-0.039,0.157,-2.172,-1.176,6,7.4,121.1724648,1.554904943,B9.5III,2.445,0.459619408,3.935,0.16263456,125,9.899494937,9727.5,161.9274529,$\theta$
Zeta Mensae,,Mensa,100.0120499,-80.81359421,5.949,5.799,5.606,5.158,5.069,4.937,0.15,0.193,0.089,0.132,-4.801,53.158,7,7.4,120.6578265,1.266573065,A3III,,,4.65,0.27,66.39,0.86,7555,43,$\zeta$
Kappa Mensae,,Mensa,87.5699437,-79.3613613,,5.375,5.451,5.595,5.635,5.642,,-0.076,-0.04,-0.007,-4.951,66.554,9.5,2,89.9409987,0.97557962,B9V,,,,,,,,,$\kappa$
Pi Mensae,,Mensa,84.291188,-80.46911982,6.36,6.25,5.67,4.87,4.42,4.241,0.11,0.58,0.45,0.179,311.187,1048.845,10.595,0.0003,18.2797979,0.022421533,G0V,1.11,0.01,1.15,0.01,1.532,0.004,6013,18,$\pi$
Xi Mensae,,Mensa,61.17903296,-82.47051447,,6.767,5.828,4.285,3.863,3.744,,0.939,0.422,0.119,-4.701,2.684,-4.7,0.2,103.1576558,0.569320355,G8III,1.91,,8.805,0.544472222,50.3,0.4,5184,159.8061325,$\xi$
Nu Mensae,,Mensa,65.24196789,-81.57992128,,6.126,5.764,5.077,4.997,4.931,,0.362,0.08,0.066,10.145,125.315,9.1,2.8,54.13979979,0.151245685,F0III,,,,,,,,,$\nu$
Delta Mensae A,,Mensa,64.49696907,-80.21402981,,6.511,5.68,4.249,3.667,3.647,,0.831,0.582,0.02,27.719,61.679,-20,4.3,143.5502857,2.406860751,K2III,,,13.15,0.692964646,111.7,2.2,5177.5,136.4716088,$\delta$
Epsilon Microscopii,,Microscopium,319.4845166,-32.17254209,4.791,4.771,4.708,4.622,4.63,4.493,0.02,0.063,-0.008,0.137,54.36,-23.29,7.2,3.3,55.86592179,0.71783028,A0V,2.18,,2.2,,35.62,,9126,,$\epsilon$
Delta Microscopii A,,Microscopium,316.5047334,-30.12512657,,6.739,5.687,4.201,3.533,3.53,,1.052,0.668,0.003,49.078,-68.365,22.81,0.48,83.15455105,1.567557811,K0III,1.96,,10.87,,57,,4805,,$\delta$
