Common Name,ID1,ID2,ObjType,Constellation,RA,Dec,B,V,B-V,R1,R2,Angle,Draw?,PM RA,PM Dec,RV,RV Err,Dist,Dist Err
,NGC 6101,,GC,Apus,246.450500,-72.202194,,10.08,,10.700,10.700,90,No,1.76,-0.22,366.33,0.32,11904.8,1559.0
,NGC 5612,,SpiGal,Apus,218.505208,-78.387500,13.04,12.11,0.93,1.862,0.955,62,No,0.00,0.00,2790.00,42.00,41160000.0,2950000.0
,NGC 5833,,SpiGal,Apus,227.973542,-72.859417,12.82,12.02,0.80,3.090,2.290,127,No,0.00,0.00,3132.00,9.00,46190000.0,3240000.0
,IC 4633,,SpiGal,Apus,258.446000,-77.536194,,12.10,,3.982,3.022,144,No,0.00,0.00,2981.00,9.00,43970000.0,3080000.0
,NGC 6392,,EllGal,Apus,265.876542,-69.785194,,12.10,,1.318,1.288,175,No,0.00,0.00,3649.00,45.00,53820000.0,3830000.0
,IC 4618,,SpiGal,Apus,254.458375,-76.992972,12.72,12.04,0.68,1.738,1.319,117,No,0.00,0.00,3045.00,8.00,44910000.0,3150000.0
,IC 4522,,SpiGal,Apus,227.870500,-75.859972,,12.30,,2.883,0.934,114,No,0.00,0.00,2944.00,7.00,43420000.0,3040000.0
,NGC 6209,,SpiGal,Apus,253.740250,-72.586639,,12.30,,2.042,1.584,9,No,0.00,0.00,5916.00,11.00,87260000.0,6110000.0
,IC 4654,,SpiGal,Apus,264.282875,-74.381444,,12.50,,1.622,1.096,101,No,0.00,0.00,5202.00,45.00,76720000.0,5410000.0
,IC 4661,,SpiGal,Apus,267.761500,-74.032389,,12.50,,2.292,1.907,57,No,0.00,0.00,4856.00,7.00,71620000.0,5010000.0
,NGC 5799,,EllGal,Apus,226.396708,-72.432833,,12.60,,1.288,0.955,129,No,0.00,0.00,3200.00,43.00,47200000.0,3370000.0
,IC 4555,,SpiGal,Apus,237.061708,-78.178861,,12.60,,1.905,0.524,60,No,0.00,0.00,2760.00,8.00,40710000.0,2850000.0
,IC 4377,,SpiGal,Apus,214.245042,-75.647194,,12.70,,2.692,0.891,93,No,0.00,0.00,2721.00,11.00,40140000.0,2810000.0
,IC 4641,,SpiGal,Apus,261.043000,-80.147417,,12.70,,1.478,1.348,75,No,0.00,0.00,5375.00,12.00,79280000.0,5550000.0
,IC 4578,,SpiGal,Apus,238.294417,-74.825278,,12.80,,1.905,1.122,132,No,0.00,0.00,4781.00,100.00,70520000.0,5150000.0
,IC 4635,,SpiGal,Apus,258.913292,-77.489528,,12.90,,3.020,0.692,164,No,0.00,0.00,2991.00,10.00,44110000.0,3090000.0
,IC 4541,,SpiGal,Apus,232.481542,-70.584944,,13.00,,2.345,0.563,150,No,0.00,0.00,4647.00,45.00,68540000.0,4840000.0
,IC 4448,,SpiGal,Apus,220.116500,-78.809222,14.10,13.52,0.58,1.047,0.812,167,No,0.00,0.00,4713.00,25.00,69510000.0,4880000.0
,IC 4545,,SpiGal,Apus,235.365739,-81.625957,,13.50,,1.905,0.934,156,No,0.00,0.00,2747.00,16.00,40520000.0,2840000.0
,NGC 5967A,,SpiGal,Apus,236.744667,-75.787444,,13.00,,1.995,1.319,42,No,0.00,0.00,2921.00,11.00,43080000.0,3020000.0
,NGC 5967,,SpiGal,Apus,237.066375,-75.672944,12.70,12.03,0.67,2.883,1.698,89,No,0.00,0.00,2961.00,8.00,43680000.0,3060000.0
,IC 4484,,SpiGal,Apus,221.932833,-73.305944,,13.50,,2.570,0.324,131,No,0.00,0.00,4550.00,12.00,67110000.0,4700000.0
,IC 4644,,SpiGal,Apus,261.153750,-73.940111,,13.90,,1.905,0.372,133,No,0.00,0.00,4946.00,8.00,72950000.0,5110000.0
,IC 4608,,SpiGal,Apus,251.724917,-77.488694,14.20,13.66,0.54,0.933,0.759,79,No,0.00,0.00,2981.00,19.00,43970000.0,3090000.0
,IC 4647,,SpiGal,Apus,261.515583,-80.195111,,13.50,,1.585,0.953,1,No,0.00,0.00,5017.00,9.00,74000000.0,5180000.0
,IC 4640,,EllGal,Apus,260.993125,-80.064083,,13.90,,1.348,1.230,120,No,0.00,0.00,4886.00,3.00,72070000.0,5040000.0
,NGC 7492,,GC,Aquarius,347.111167,-15.611472,,10.48,,6.000,6.000,0,No,0.76,-2.30,-176.70,0.20,13698.6,2627.1
,NGC 7184,,SpiGal,Aquarius,330.665917,-20.812833,11.65,10.85,0.80,6.025,1.476,62,No,0.00,0.00,2310.00,22.00,34080000.0,2410000.0
,NGC 7761,,EllGal,Aquarius,357.870389,-13.381592,,10.90,,1.230,1.230,60,No,0.00,0.00,6846.00,32.00,100970000.0,7080000.0
,NGC 7392,,SpiGal,Aquarius,342.953083,-20.608083,12.62,11.86,0.76,2.138,1.260,123,No,0.00,0.00,2849.00,23.00,42030000.0,2960000.0
,NGC 7252,,SpiGal,Aquarius,335.186460,-24.678265,12.72,12.06,0.66,1.950,1.622,118,No,0.00,0.00,4484.00,22.00,66140000.0,4640000.0
,NGC 6962,,SpiGal,Aquarius,311.829434,0.320801,13.00,12.14,0.86,2.883,2.289,75,No,0.00,0.00,3903.00,21.00,57570000.0,4040000.0
,NGC 7218,,SpiGal,Aquarius,332.548792,-16.661000,,12.20,,2.512,1.123,30,No,0.00,0.00,1332.00,23.00,19650000.0,1420000.0
,NGC 7721,,SpiGal,Aquarius,354.702708,-6.517861,12.22,11.60,0.62,3.548,1.444,20,No,0.00,0.00,1659.00,25.00,24470000.0,1750000.0
,NGC 7371,,EllGal,Aquarius,341.515574,-11.001133,12.26,11.54,0.72,2.042,2.042,160,No,0.00,0.00,2337.00,25.00,34470000.0,2440000.0
,IC 1438,,SpiGal,Aquarius,334.121208,-21.430694,,12.20,,2.398,2.041,119,No,0.00,0.00,2280.00,22.00,33620000.0,2380000.0
,NGC 7171,,SpiGal,Aquarius,330.258375,-13.269750,12.88,12.18,0.70,2.630,1.549,125,No,0.00,0.00,2388.00,24.00,35220000.0,2490000.0
,NGC 7377,,EllGal,Aquarius,341.947917,-22.312111,12.07,11.10,0.97,2.952,2.456,101,No,0.00,0.00,3017.00,25.00,44510000.0,3140000.0
,NGC 6967,,SpiGal,Aquarius,311.892064,0.411610,14.01,13.12,0.89,1.047,0.692,90,No,0.00,0.00,3470.00,29.00,51180000.0,3610000.0
,NGC 7285,,SpiGal,Aquarius,337.158333,-24.840778,,12.30,,2.345,1.414,65,No,0.00,0.00,4015.00,30.00,59210000.0,4170000.0
,NGC 7309,,SpiGal,Aquarius,338.585792,-10.357000,13.00,12.46,0.54,1.950,1.819,145,No,0.00,0.00,3657.00,26.00,53930000.0,3790000.0
,NGC 7183,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7284,,,Aquarius,,,,,,,,,,,,,,,
,NGC 6964,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7300,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7717,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7724,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7665,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7302,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7600,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7416,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7351,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7378,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7185,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7167,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7010,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7341,,,Aquarius,,,,,,,,,,,,,,,
,NGC 6968,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7393,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7246,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7359,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7247,,,Aquarius,,,,,,,,,,,,,,,
,IC 5304,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7251,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7365,,,Aquarius,,,,,,,,,,,,,,,
,IC 1443,,,Aquarius,,,,,,,,,,,,,,,
,NGC 6945,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7165,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7592B,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7180,,,Aquarius,,,,,,,,,,,,,,,
,IC 1445,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7736,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7077,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7257,,,Aquarius,,,,,,,,,,,,,,,
,IC 1447,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7364,,,Aquarius,,,,,,,,,,,,,,,
,IC 1433,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7709,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7254,,,Aquarius,,,,,,,,,,,,,,,
,IC 5261,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7646,,,Aquarius,,,,,,,,,,,,,,,
,IC 5321,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7344,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7443,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7051,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7308,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7576,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7230,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7121,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7444,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7001,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7759,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7441,,,Aquarius,,,,,,,,,,,,,,,
,IC 5210,,,Aquarius,,,,,,,,,,,,,,,
,IC 1498,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7188,,,Aquarius,,,,,,,,,,,,,,,
,IC 5334,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7298,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7301,,,Aquarius,,,,,,,,,,,,,,,
,IC 1495,,,Aquarius,,,,,,,,,,,,,,,
,IC 5345,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7310,,,Aquarius,,,,,,,,,,,,,,,
,IC 5050,,,Aquarius,,,,,,,,,,,,,,,
,NGC 6978,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7573,,,Aquarius,,,,,,,,,,,,,,,
,NGC 6977,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7047,,,Aquarius,,,,,,,,,,,,,,,
,IC 1368,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7450,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7170,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7656,,,Aquarius,,,,,,,,,,,,,,,
,IC 1417,,,Aquarius,,,,,,,,,,,,,,,
,NGC 6985,,,Aquarius,,,,,,,,,,,,,,,
,IC 1412,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7189,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7065A,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7730,,,Aquarius,,,,,,,,,,,,,,,
,IC 5343,,,Aquarius,,,,,,,,,,,,,,,
,IC 5290,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7198,,,Aquarius,,,,,,,,,,,,,,,
,IC 5090,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7288,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7399,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7491,,,Aquarius,,,,,,,,,,,,,,,
,IC 1411,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7266,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7349,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7220,,,Aquarius,,,,,,,,,,,,,,,
,IC 1344,,,Aquarius,,,,,,,,,,,,,,,
,IC 1479,,,Aquarius,,,,,,,,,,,,,,,
,NGC 6959,,,Aquarius,,,,,,,,,,,,,,,
,IC 1471,,,Aquarius,,,,,,,,,,,,,,,
,IC 5211,,,Aquarius,,,,,,,,,,,,,,,
,IC 1505,,,Aquarius,,,,,,,,,,,,,,,
,IC 1439,,,Aquarius,,,,,,,,,,,,,,,
,IC 1331,,,Aquarius,,,,,,,,,,,,,,,
,IC 1401,,,Aquarius,,,,,,,,,,,,,,,
,IC 5178,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7287,,,Aquarius,,,,,,,,,,,,,,,
,IC 1350,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7069,,,Aquarius,,,,,,,,,,,,,,,
,NGC 6961,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7211,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7164,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7215,,,Aquarius,,,,,,,,,,,,,,,
,IC 1437,,,Aquarius,,,,,,,,,,,,,,,
,IC 1440,,,Aquarius,,,,,,,,,,,,,,,
,IC 1346,,,Aquarius,,,,,,,,,,,,,,,
,NGC 6975,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7381,,,Aquarius,,,,,,,,,,,,,,,
,IC 1464B,,,Aquarius,,,,,,,,,,,,,,,
,IC 1371,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7108,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7120,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7255,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7425,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7406,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7776,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7065,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7692,,,Aquarius,,,,,,,,,,,,,,,
,IC 1387,,,Aquarius,,,,,,,,,,,,,,,
,IC 1388,,,Aquarius,,,,,,,,,,,,,,,
,IC 1405,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7592A,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7754,,,Aquarius,,,,,,,,,,,,,,,
,IC 1451,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7725,,,Aquarius,,,,,,,,,,,,,,,
,IC 1491,,,Aquarius,,,,,,,,,,,,,,,
,IC 1372,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7498,,,Aquarius,,,,,,,,,,,,,,,
,IC 1410,,,Aquarius,,,,,,,,,,,,,,,
,IC 1357,,,Aquarius,,,,,,,,,,,,,,,
,IC 1370,,,Aquarius,,,,,,,,,,,,,,,
,IC 1390,,,Aquarius,,,,,,,,,,,,,,,
,IC 1453,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7222,,,Aquarius,,,,,,,,,,,,,,,
,IC 1489,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7719,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7596,,,Aquarius,,,,,,,,,,,,,,,
,NGC 6965,,,Aquarius,,,,,,,,,,,,,,,
,IC 1509,,,Aquarius,,,,,,,,,,,,,,,
,IC 1449,,,Aquarius,,,,,,,,,,,,,,,
,IC 1341,,,Aquarius,,,,,,,,,,,,,,,
,IC 1431,,,Aquarius,,,,,,,,,,,,,,,
,IC 1397,,,Aquarius,,,,,,,,,,,,,,,
,IC 5310,,,Aquarius,,,,,,,,,,,,,,,
,IC 1464A,,,Aquarius,,,,,,,,,,,,,,,
,IC 1373,,,Aquarius,,,,,,,,,,,,,,,
,IC 1384,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7663,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7181,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7763,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7758,,,Aquarius,,,,,,,,,,,,,,,
,IC 1413,,,Aquarius,,,,,,,,,,,,,,,
,IC 1421,,,Aquarius,,,,,,,,,,,,,,,
,IC 1349,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7287B,,,Aquarius,,,,,,,,,,,,,,,
,IC 1406,,,Aquarius,,,,,,,,,,,,,,,
,IC 5278,,,Aquarius,,,,,,,,,,,,,,,
,IC 1345,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7182,,,Aquarius,,,,,,,,,,,,,,,
,IC 1381,,,Aquarius,,,,,,,,,,,,,,,
,IC 1409,,,Aquarius,,,,,,,,,,,,,,,
,IC 1347,,,Aquarius,,,,,,,,,,,,,,,
,IC 1433 NED01,,,Aquarius,,,,,,,,,,,,,,,
,IC 1351,,,Aquarius,,,,,,,,,,,,,,,
,IC 5126,,,Aquarius,,,,,,,,,,,,,,,
,IC 1446,,,Aquarius,,,,,,,,,,,,,,,
,IC 1391,,,Aquarius,,,,,,,,,,,,,,,
,IC 1362,,,Aquarius,,,,,,,,,,,,,,,
,IC 1366,,,Aquarius,,,,,,,,,,,,,,,
,IC 1374,,,Aquarius,,,,,,,,,,,,,,,
,IC 1355,,,Aquarius,,,,,,,,,,,,,,,
,IC 1348,,,Aquarius,,,,,,,,,,,,,,,
,IC 1494,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7287A,,,Aquarius,,,,,,,,,,,,,,,
,IC 1332,,,Aquarius,,,,,,,,,,,,,,,
,IC 1456,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7494,,,Aquarius,,,,,,,,,,,,,,,
,IC 1436,,,Aquarius,,,,,,,,,,,,,,,
,IC 1419,,,Aquarius,,,,,,,,,,,,,,,
,IC 1430,,,Aquarius,,,,,,,,,,,,,,,
,IC 1383,,,Aquarius,,,,,,,,,,,,,,,
,IC 5089,,,Aquarius,,,,,,,,,,,,,,,
,IC 1403,,,Aquarius,,,,,,,,,,,,,,,
,IC 1353,,,Aquarius,,,,,,,,,,,,,,,
,IC 1352,,,Aquarius,,,,,,,,,,,,,,,
,IC 1433 NED03,,,Aquarius,,,,,,,,,,,,,,,
,IC 1385,,,Aquarius,,,,,,,,,,,,,,,
,NGC 6985A,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7585,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7592,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7592C,,,Aquarius,,,,,,,,,,,,,,,
,IC 1330,,,Aquarius,,,,,,,,,,,,,,,
,IC 1469,,,Aquarius,,,,,,,,,,,,,,,
,IC 1464,,,Aquarius,,,,,,,,,,,,,,,
,IC 1433 NED02,,,Aquarius,,,,,,,,,,,,,,,
,IC 1342,,,Aquarius,,,,,,,,,,,,,,,
,NGC 7239,,,Aquarius,,,,,,,,,,,,,,,
