Common Name,ID1,ID2,ObjType,Constellation,RA,Dec,B,V,B-V,R1,R2,Angle,Draw?,PM RA,PM Dec,RV,RV Err,Dist,Dist Err
,NGC 4866,UGC 8102,SpiGal,Virgo,194.863083,14.171056,12.14,11.22,0.92,3.155,0.675,87,No,0.00,0.00,1980.00,3.00,31100000.0,2867420.0
,NGC 4900,UGC 8116,SpiGal,Virgo,195.163538,2.500725,11.90,11.37,0.53,1.119,1.044,150,No,0.00,0.00,963.00,1.00,26400000.0,851928.0
,NGC 4958,UGCA 323,EllGal,Virgo,196.453667,-8.020278,11.60,10.68,0.92,2.037,0.629,15,No,0.00,0.00,1455.00,9.00,13100000.0,2717595.0
,NGC 4995,UGCA 329,SpiGal,Virgo,197.419375,-7.833417,12.00,11.13,0.87,1.228,0.811,95,No,0.00,0.00,1744.00,4.00,25500000.0,5054865.0
,NGC 5005,C29,SpiGal,Canes Venatici,197.734296,37.059206,10.61,9.81,0.80,2.878,1.378,65,No,0.00,0.00,946.00,5.00,24200000.0,4797166.0
,NGC 5033,UGC 8307,SpiGal,Canes Venatici,198.364442,36.593936,10.75,10.20,0.55,5.358,2.507,170,No,0.00,0.00,873.00,1.00,19300000.0,3825839.0
,NGC 5054,UGCA 344,SpiGal,Virgo,199.243708,-16.634861,11.67,10.91,0.76,2.564,1.474,160,No,0.00,0.00,1742.00,2.00,17600000.0,3488848.0
Centaurus A,NGC 5128,C77,EllGal,Centaurus,201.365063,-43.019113,7.84,6.84,1.00,12.852,9.973,35,No,0.00,0.00,547.00,5.00,4040000.0,279366.0
Omega Centauri,NGC 5139,C80,GC,Centaurus,201.697000,-47.479472,6.12,5.33,0.79,8.360,8.360,0,No,-3.24,-6.73,234.28,0.24,7309.9,80.2
Spiral Planetary Nebula,NGC 5189,Gum 47,PNeb,Musca,203.386988,-65.974177,14.10,14.50,-0.40,2.333,2.333,90,No,-12.69,-3.43,-8.00,4.00,1682.4,88.6
,NGC 5248,C45,SpiGal,Bootes,204.383433,8.885178,10.97,10.32,0.65,3.083,2.232,110,No,0.00,0.00,1151.00,1.00,10800000.0,2140884.0
,NGC 5273,UGC 8675,EllGal,Canes Venatici,205.534742,35.654214,12.44,11.59,0.85,1.378,1.256,10,No,0.00,0.00,1083.00,3.00,16600000.0,1071364.0
,NGC 5286,C84,GC,Centaurus,206.611708,-51.374250,9.18,8.31,0.87,1.380,1.380,0,No,0.20,-0.16,62.38,0.40,43103.4,9475.3
,NGC 5322,UGC 8745,EllGal,Ursa Major,207.313621,60.190533,11.14,10.23,0.91,2.944,1.946,95,No,0.00,0.00,1780.00,5.00,28300000.0,5218520.0
,NGC 5363,UGC 8847,EllGal,Virgo,209.030038,5.254772,11.05,10.08,0.97,2.037,1.316,135,No,0.00,0.00,1139.00,5.00,16600000.0,6122080.0
,NGC 5364,UGC 8853,SpiGal,Virgo,209.050000,5.014472,11.17,10.53,0.64,3.380,2.184,30,No,0.00,0.00,1268.00,2.00,17600000.0,3732256.0
,NGC 5466,,GC,Bootes,211.363708,28.534444,10.50,9.70,0.80,13.200,13.200,0,No,-5.41,-0.79,106.93,0.18,43290.0,6371.7
,NGC 5473,UGC 9011,EllGal,Ursa Major,211.180113,54.892631,12.35,11.45,0.90,1.173,0.830,160,No,0.00,0.00,2022.00,5.00,29500000.0,5439800.0
,NGC 5474,UGC 9013,SpiGal,Ursa Major,211.256708,53.662222,11.28,10.79,0.49,2.393,2.133,98,No,0.00,0.00,262.00,1.00,6550000.0,966256.0
,NGC 5557,UGC 9161,EllGal,Bootes,214.607183,36.493561,11.92,11.01,0.91,1.146,0.932,105,No,0.00,0.00,3219.00,5.00,45800000.0,9501210.0
,NGC 5556,UGCA 389,SpiGal,Virgo,215.142042,-29.241778,13.57,12.88,0.69,1.991,1.581,148,No,0.00,0.00,1384.00,2.00,16100000.0,1484420.0
,NGC 5576,UGC 9183,EllGal,Virgo,215.265333,3.271000,11.85,10.96,0.89,1.774,1.120,95,No,0.00,0.00,1506.00,5.00,25500000.0,1645770.0
,NGC 5631,UGC 9261,EllGal,Ursa Major,216.638742,56.582631,12.41,11.49,0.92,0.849,0.849,140,No,0.00,0.00,1944.00,5.00,28400000.0,1832936.0
,NGC 5634,,GC,Virgo,217.405333,-5.976417,10.69,10.05,0.64,9.000,9.000,0,No,-1.67,-1.55,-16.07,0.60,25200.0,
,NGC 5676,UGC 9366,SpiGal,Bootes,218.195192,49.457903,11.87,11.19,0.68,1.991,0.954,47,No,0.00,0.00,2097.00,2.00,33300000.0,6601059.0
,NGC 5689,UGC 9399,EllGal,Bootes,218.873725,48.741653,12.80,11.86,0.94,1.733,0.477,85,No,0.00,0.00,2160.00,10.00,35600000.0,13129280.0
,NGC 5694,C66,GC,Hydra,219.902167,-26.538333,11.58,10.89,0.69,0.660,0.660,0,No,-0.43,-1.09,-139.55,0.49,16447.4,4869.3
,NGC 5746,UGC 9499,SpiGal,Virgo,221.232992,1.955003,11.29,10.32,0.97,3.707,0.660,170,No,0.00,0.00,1728.00,2.00,34700000.0,6878581.0
,NGC 5846,UGC 9706,EllGal,Virgo,226.622017,1.605625,11.05,10.04,1.01,2.037,1.900,28,No,0.00,0.00,1712.00,5.00,25000000.0,1383000.0
,NGC 5897,,GC,Libra,229.351667,-21.010111,10.16,8.52,1.64,19.800,19.800,0,No,-5.41,-3.46,101.31,0.22,17182.1,1505.7
Knife Edge Galaxy,NGC 5907,UGC 9801,SpiGal,Draco,228.974042,56.328772,11.12,10.34,0.78,6.295,0.692,155,No,0.00,0.00,665.00,1.00,16600000.0,3290618.0
,NGC 5982,UGC 9961,EllGal,Draco,234.665954,59.355839,12.04,11.13,0.91,1.285,0.975,110,No,0.00,0.00,3017.00,9.00,40400000.0,2607416.0
,NGC 6025,C95,OC,Triangulum Australe,240.779167,-60.430000,,5.10,,35.000,35.000,0,No,-2.88,-3.02,-7.66,,790.8,0.9
Blinking Galaxy,NGC 6118,UGC 10350,SpiGal,Serpens Caput,245.452583,-2.283444,12.42,11.66,0.76,2.338,0.999,58,No,0.00,0.00,1573.00,1.00,20800000.0,4123184.0
,NGC 6144,,GC,Scorpius,246.807750,-26.023500,10.55,9.63,0.92,10.800,10.800,0,No,-1.75,-2.62,195.74,0.74,14306.2,1228.0
,NGC 6207,UGC 10521,SpiGal,Hercules,250.765625,36.832417,12.16,11.63,0.53,1.476,0.645,15,No,0.00,0.00,852.00,1.00,14000000.0,2775220.0
,NGC 6210,,PNeb,Hercules,252.475980,23.799859,12.30,11.70,0.60,0.440,0.414,120,No,-6.54,-13.86,-35.60,0.90,2282.0,
,NGC 6217,UGC 10470,SpiGal,Ursa Minor,248.163333,78.198167,11.79,11.16,0.63,1.510,1.256,150,No,0.00,0.00,1361.00,3.00,23900000.0,4407160.0
,NGC 6229,,GC,Hercules,251.744338,47.526772,9.38,9.86,-0.48,1.533,1.411,160,No,-1.19,-0.46,-138.64,0.77,61349.7,30110.3
,NGC 6231,C76,OC,Scorpius,253.535458,-41.826667,2.83,2.60,0.23,14.000,14.000,90,No,-0.53,-2.18,-19.10,1.00,1697.8,5.8
,NGC 6235,,GC,Ophiuchus,253.355667,-22.177444,11.99,7.20,4.79,8.400,8.400,0,No,-3.96,-7.61,126.68,0.33,15923.6,2763.8
,NGC 6284,,GC,Ophiuchus,256.119779,-24.764228,10.72,7.43,3.29,1.167,1.120,85,No,-3.21,-2.00,28.26,0.93,18450.2,2961.6
,NGC 6287,,GC,Ophiuchus,256.289545,-22.707806,11.49,10.30,1.19,1.070,0.856,60,No,-5.07,-2.04,-294.74,1.65,13477.1,8082.6
,NGC 6293,,GC,Ophiuchus,257.543417,-26.581722,9.96,9.02,0.94,1.820,1.820,0,No,0.87,-4.31,-143.66,0.39,11223.3,692.8
,NGC 6304,,GC,Ophiuchus,258.634375,-29.462028,10.33,9.03,1.30,1.800,1.800,0,No,-4.04,-1.03,-108.62,0.39,9017.1,959.4
,NGC 6316,,GC,Ophiuchus,259.155917,-28.140000,10.33,9.03,1.30,4.800,4.800,0,No,-4.97,-4.61,99.81,0.82,15313.9,2392.1
,NGC 6342,,GC,Ophiuchus,260.292250,-19.587417,11.25,10.01,1.24,1.760,1.760,0,No,2.94,-7.08,116.56,0.74,9157.5,696.0
,NGC 6355,,GC,Ophiuchus,260.994375,-26.353417,12.46,11.05,1.41,5.400,5.400,0,No,-4.61,-0.50,-194.13,0.83,11862.4,1167.9
,NGC 6356,,GC,Ophiuchus,260.895792,-17.813028,10.01,7.42,2.59,3.600,3.600,0,No,-3.78,-3.34,38.93,1.88,11389.5,1881.0
Little Ghost Nebula,NGC 6369,,PNeb,Ophiuchus,262.335236,-23.759659,16.60,12.00,4.60,0.467,0.467,90,No,-0.24,-0.85,-106.00,5.00,1139.5,80.9
,NGC 6397,C86,GC,Ara,265.175375,-53.674333,7.39,5.17,2.22,4.660,4.660,0,No,3.30,-17.60,18.39,0.10,2615.1,8.9
,NGC 6401,,GC,Ophiuchus,264.653875,-23.908750,11.31,10.71,0.60,9.000,9.000,0,No,-2.79,1.48,-99.26,3.18,7917.7,388.7
,NGC 6426,Cr 346,GC,Ophiuchus,266.227958,3.170139,,10.90,,3.600,3.600,0,No,-1.84,-3.00,-210.51,0.51,31545.7,10050.9
,NGC 6440,,GC,Sagittarius,267.219458,-20.359583,12.01,10.10,1.91,4.800,4.800,0,No,-1.01,-3.81,-69.39,0.93,8741.3,809.9
Little Gem Nebula,NGC 6445,,PNeb,Sagittarius,267.313375,-20.009583,,11.20,,0.553,0.553,90,No,,,-8.00,,1380.0,
,NGC 6451,,OC,Scorpius,267.675000,-30.206111,,8.20,,9.400,9.400,0,No,-0.11,-1.34,-23.00,8.90,3289.5,43.3
,NGC 6503,UGC 11012,SpiGal,Draco,267.360133,70.144367,10.91,10.23,0.68,3.540,1.200,122,No,0.00,0.00,25.00,1.00,6250000.0,288125.0
,NGC 6517,,GC,Ophiuchus,270.459900,-8.959553,11.08,10.10,0.98,1.473,1.326,55,No,-1.49,-4.23,-37.07,1.68,22271.7,6547.6
,NGC 6520,Cr 361,OC,Sagittarius,270.855833,-27.883889,,7.60,,3.400,3.400,0,No,0.69,-0.42,-27.60,0.90,1798.6,29.1
,NGC 6522,,GC,Sagittarius,270.892000,-30.033972,10.68,9.48,1.20,2.080,2.080,0,No,2.62,-6.40,-13.90,0.71,12453.3,821.9
,NGC 6528,,GC,Sagittarius,271.206708,-30.055778,12.12,10.65,1.47,2.400,2.400,0,No,-2.17,-5.52,210.31,0.75,9910.8,1453.7
,NGC 6540,,GC,Sagittarius,271.535833,-27.765278,,10.00,,1.500,1.500,0,No,-3.80,-2.73,-17.98,0.84,5300.0,
,NGC 6541,C78,GC,Corona Australis,272.009833,-43.714889,8.06,7.32,0.74,2.380,2.380,0,No,0.32,-8.85,-163.97,0.46,8257.6,306.8
Cat's Eye Nebula,NGC 6543,C6,PNeb,Draco,269.639184,66.632986,11.09,11.28,-0.19,0.623,0.536,10,No,-0.56,-6.41,-65.70,0.90,1625.5,187.3
,NGC 6544,Cr 366,GC,Sagittarius,271.835750,-24.997333,11.36,9.90,1.46,12.000,12.000,0,No,-2.34,-18.66,-38.12,0.76,3048.8,36.3
,NGC 6553,,GC,Sagittarius,272.315333,-25.907750,9.08,8.30,0.78,10.800,10.800,0,No,0.30,-0.41,0.72,0.40,4557.9,105.9
